Episode,Score,Total Steps,Death,Epsilon
1, 0, 10, Status.WALL, 1.0
2, 0, 10, Status.WALL, 0.999
3, 0, 14, Status.WALL, 0.998001
4, 1, 19, Status.WALL, 0.997002999
5, 1, 12, Status.WALL, 0.996005996001
6, 1, 29, Status.WALL, 0.995009990004999
7, 1, 8, Status.WALL, 0.994014980014994
8, 0, 15, Status.WALL, 0.993020965034979
9, 1, 25, Status.SNAKE, 0.9920279440699441
10, 1, 9, Status.SNAKE, 0.9910359161258742
11, 0, 6, Status.WALL, 0.9900448802097482
12, 0, 11, Status.WALL, 0.9890548353295385
13, 0, 5, Status.WALL, 0.988065780494209
14, 0, 5, Status.WALL, 0.9870777147137147
15, 0, 13, Status.WALL, 0.986090636999001
16, 0, 14, Status.WALL, 0.9851045463620021
17, 0, 24, Status.WALL, 0.98411944181564
18, 0, 28, Status.WALL, 0.9831353223738244
19, 0, 8, Status.WALL, 0.9821521870514506
20, 1, 3, Status.SNAKE, 0.9811700348643991
21, 0, 41, Status.WALL, 0.9801888648295347
22, 0, 15, Status.WALL, 0.9792086759647052
23, 0, 17, Status.WALL, 0.9782294672887405
24, 0, 7, Status.WALL, 0.9772512378214517
25, 0, 9, Status.WALL, 0.9762739865836303
26, 0, 10, Status.WALL, 0.9752977125970467
27, 0, 9, Status.WALL, 0.9743224148844496
28, 0, 45, Status.WALL, 0.9733480924695651
29, 0, 6, Status.WALL, 0.9723747443770956
30, 0, 6, Status.WALL, 0.9714023696327185
31, 0, 6, Status.WALL, 0.9704309672630859
32, 0, 10, Status.WALL, 0.9694605362958227
33, 1, 12, Status.WALL, 0.9684910757595269
34, 0, 13, Status.WALL, 0.9675225846837673
35, 0, 17, Status.WALL, 0.9665550620990835
36, 1, 7, Status.WALL, 0.9655885070369844
37, 0, 7, Status.WALL, 0.9646229185299474
38, 1, 9, Status.SNAKE, 0.9636582956114175
39, 0, 20, Status.WALL, 0.9626946373158061
40, 0, 7, Status.WALL, 0.9617319426784903
41, 0, 17, Status.WALL, 0.9607702107358118
42, 0, 39, Status.WALL, 0.959809440525076
43, 0, 6, Status.WALL, 0.9588496310845509
44, 1, 10, Status.WALL, 0.9578907814534664
45, 0, 8, Status.WALL, 0.9569328906720129
46, 0, 14, Status.WALL, 0.9559759577813409
47, 1, 7, Status.WALL, 0.9550199818235596
48, 0, 11, Status.WALL, 0.9540649618417361
49, 0, 25, Status.WALL, 0.9531108968798944
50, 0, 5, Status.WALL, 0.9521577859830145
51, 0, 20, Status.WALL, 0.9512056281970315
52, 0, 11, Status.WALL, 0.9502544225688344
53, 1, 12, Status.WALL, 0.9493041681462656
54, 0, 14, Status.WALL, 0.9483548639781193
55, 0, 10, Status.WALL, 0.9474065091141411
56, 0, 27, Status.WALL, 0.946459102605027
57, 2, 54, Status.SNAKE, 0.9455126435024219
